category, icon, title                        , href                           , paper                   , date      , words, minutes
Main    , 🏠  , Welcome                      , ?paper=index                   , index                   , 2026.09.12,   424,       2
Main    , 👋  , About Me                     , ?paper=about_me                , about_me                , 2026.08.11,   591,       3
Main    , ⌚   , Changelog                    , ?paper=changelog               , changelog               , 2026.09.16,  8750,      40
Main    , ⛏️   , Minecraft Server             , ?paper=minecraft               , minecraft               , 2026.09.16,  1090,       5
Main    , ⭐   , Recommendations              , ?paper=recommendations         , recommendations         , 2026.09.13,  1023,       5
Main    , 💜  , Support Me                   , ?paper=support_me              , support_me              , 2026.07.18,   286,       2

Books   , 📖  , Operation Chimera            , ?paper=operation_chimera       , operation_chimera       , 2026.09.16,   368,       2
Books   , ⚡   , Glitched                     , ?paper=glitched                , glitched                , 2026.07.18,  9574,      44
Books   , ⚔️   , Infinite Devastation         , ?paper=infinite_devastation    , infinite_devastation    , 2026.07.18,  7166,      33
Books   , 💎  , Ever Diamond                 , ?paper=ever_diamond            , ever_diamond            , 2026.07.18, 12921,      59

Games   , 🕹️  , Blank Pixel Game             , ?paper=blank_pixel_game        , blank_pixel_game        , 2026.07.18,  1535,       7
Games   , 🍂  , Clutter                      , ?paper=clutter                 , clutter                 , 2026.07.18,   427,       2
Games   , 🧋  , Sip Sip                      , ?paper=sipsip                  , sipsip                  , 2026.07.24,   230,       2

Guides  , 🐍  , How to Learn Programming     , ?paper=how_to_learn_programing, how_to_learn_programing, 2026.07.18,   174,       1
Guides  , 🖨️  , How to Use a 3D Printer      , ?paper=how_to_use_a_3d_printer , how_to_use_a_3d_printer , 2026.07.24,   748,       4
Guides  , 💡  , How to Do It for Free        , ?paper=how_to_do_it_for_free   , how_to_do_it_for_free   , 2026.07.18,  2567,      12
Guides  , 📀  , How to Burn a DVD            , ?paper=how_to_burn_a_dvd       , how_to_burn_a_dvd       , 2026.09.19,  1312,       6
Guides  , 🧪  , How to Use Cheat Engine      , ?paper=how_to_use_cheat_engine , how_to_use_cheat_engine , 2026.09.19,  1203,       6
Guides  , 🎨  , How to Use ComfyUI           , ?paper=how_to_use_comfyui      , how_to_use_comfyui      , 2026.07.18,   955,       5
Guides  , 🧲  , How Magnets Work             , ?paper=how_magnets_work        , how_magnets_work        , 2026.09.16,   622,       3
Guides  , 🎬  , How to Edit Videos           , ?paper=how_to_edit_videos      , how_to_edit_videos      , 2026.07.24,   516,       3
Guides  , 🏚️  , How to Urbex Safely          , ?paper=how_to_urbex_safety     , how_to_urbex_safety     , 2026.07.18,  1054,       5
Guides  , 🎭  , How to Become a VTuber       , ?paper=how_to_become_a_vtuber  , how_to_become_a_vtuber  , 2026.07.21,  1092,       5
Guides  , 📝  , Homeschool Worksheets [EOL] , ?paper=worksheets              , worksheets              , 2026.07.18,   395,       2

DevTools, 🔓  , Become the Problem           , ?paper=become_the_problem      , become_the_problem      , 2026.07.24,  2231,      11
DevTools, 🧊  , Blender Resources            , ?paper=blender_resources       , blender_resources       , 2026.07.18,   268,       2
DevTools, ☕   , Brewdown                   , ?paper=brewdown                , brewdown                , 2026.06.27,    16,       1
DevTools, 🔢  , Casio Code                   , ?paper=casio_code              , casio_code              , 2026.09.09,   543,       3
DevTools, 🎬  , Media Mimic                  , ?paper=media_mimic             , media_mimic             , 2026.07.18,   668,       4
DevTools, 🤖  , Vanity                       , ?paper=vanity                  , vanity                  , 2026.09.16,  4133,      19
DevTools, 🎬  , yt-dlp Tool                  , ?paper=yt_dlp_tool             , yt_dlp_tool             , 2026.07.24,   635,       3
DevTools, 😴  , Sleep Launcher               , ?paper=zzz_launcher            , zzz_launcher            , 2026.09.16,  1770,       9

Legal   , ⚖️   , Website Legal                , ?paper=website_legal           , website_legal           , 2026.09.16,   847,       4
Legal   , ⚖️   , Vanity Legal                 , ?paper=vanity_legal            , vanity_legal            , 2026.09.16,  1278,       6
